framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
2,-1,16,16,   8,  12,   8,   8,0x0
2,-1,16,16,  22,  11,  24,   8,0x0
2,-1,16,16,  39,  11,  40,   8,0x0
2,-1,16,16,  54,  10,  56,   8,0x0
2,-1,16,16,  70,   8,  72,   8,0x0
2,-1,16,16,  87,   8,  88,   8,0x0
2,-1,16,16, 102,   8, 104,   8,0x0
2,-1,16,16, 118,   8, 120,   8,0x0
2,-1,16,16, 132,   8, 136,   8,0x0
2,-1,16,16, 151,  12, 152,   8,0x0
2,-1,16,16, 167,  12, 168,   8,0x0
2,-1,16,16, 183,  12, 184,   8,0x0
2,-1,16,16, 199,  12, 200,   8,0x0
2,-1,16,16, 215,  11, 216,   8,0x0
2,-1,16,16, 231,  11, 232,   8,0x0
2,-1,16,16, 263,   8, 264,   8,0x0
2,-1,16,16, 295,   8, 296,   8,0x0
2,-1,16,16, 311,   8, 312,   8,0x0
2,-1,16,16, 327,   8, 328,   8,0x0
2,-1,16,16, 343,   8, 344,   8,0x0
2,-1,16,16, 359,   9, 360,   8,0x0
2,-1,16,16, 375,   8, 376,   8,0x0
2,-1,16,16, 391,   8, 392,   8,0x0
2,-1,16,16, 407,   8, 408,   8,0x0
2,-1,16,16, 420,  11, 424,   8,0x0
2,-1,16,16, 438,  11, 440,   8,0x0
2,-1,16,16, 454,  11, 456,   8,0x0
2,-1,16,16, 471,  12, 472,   8,0x0
2,-1,16,16,   8,  28,   8,  24,0x0
2,-1,16,16,  23,  28,  24,  24,0x0
2,-1,16,16,  40,  28,  40,  24,0x0
2,-1,16,16,  55,  28,  56,  24,0x0
2,-1,16,16,  71,  28,  72,  24,0x0
2,-1,16,16,  87,  27,  88,  24,0x0
2,-1,16,16, 103,  27, 104,  24,0x0
2,-1,16,16, 119,  27, 120,  24,0x0
2,-1,16,16, 135,  27, 136,  24,0x0
2,-1,16,16, 151,  26, 152,  24,0x0
2,-1,16,16, 167,  26, 168,  24,0x0
2,-1,16,16, 183,  27, 184,  24,0x0
2,-1,16,16, 199,  27, 200,  24,0x0
2,-1,16,16, 215,  27, 216,  24,0x0
2,-1,16,16, 263,  22, 264,  24,0x0
2,-1,16,16, 280,  23, 280,  24,0x0
2,-1,16,16, 294,  21, 296,  24,0x0
2,-1,16,16, 311,  24, 312,  24,0x0
2,-1,16,16, 327,  22, 328,  24,0x0
2,-1,16,16, 343,  23, 344,  24,0x0
2,-1,16,16, 359,  24, 360,  24,0x0
2,-1,16,16, 374,  28, 376,  24,0x0
2,-1,16,16, 391,  27, 392,  24,0x0
2,-1,16,16, 406,  28, 408,  24,0x0
2,-1,16,16, 422,  28, 424,  24,0x0
2,-1,16,16, 439,  27, 440,  24,0x0
2,-1,16,16, 454,  27, 456,  24,0x0
2,-1,16,16, 470,  27, 472,  24,0x0
2,-1,16,16,   8,  43,   8,  40,0x0
2,-1,16,16,  23,  43,  24,  40,0x0
2,-1,16,16,  39,  42,  40,  40,0x0
2,-1,16,16,  56,  43,  56,  40,0x0
2,-1,16,16,  71,  42,  72,  40,0x0
2,-1,16,16,  87,  44,  88,  40,0x0
2,-1,16,16, 103,  43, 104,  40,0x0
2,-1,16,16, 119,  43, 120,  40,0x0
2,-1,16,16, 135,  43, 136,  40,0x0
2,-1,16,16, 151,  43, 152,  40,0x0
2,-1,16,16, 167,  43, 168,  40,0x0
2,-1,16,16, 183,  43, 184,  40,0x0
2,-1,16,16, 199,  43, 200,  40,0x0
2,-1,16,16, 215,  43, 216,  40,0x0
2,-1,16,16, 231,  42, 232,  40,0x0
2,-1,16,16, 263,  39, 264,  40,0x0
2,-1,16,16, 294,  35, 296,  40,0x0
2,-1,16,16, 311,  44, 312,  40,0x0
2,-1,16,16, 326,  48, 328,  40,0x0
2,-1,16,16, 342,  47, 344,  40,0x0
2,-1,16,16, 358,  46, 360,  40,0x0
2,-1,16,16, 375,  43, 376,  40,0x0
2,-1,16,16, 390,  43, 392,  40,0x0
2,-1,16,16, 407,  43, 408,  40,0x0
